time,x,y
23.4,1.416784179,0.231468027
23.45,1.584590085,0.178131499
23.5,1.676003344,0.103952858
23.55,1.683953633,0.020115618
23.6,1.605600943,-0.061130814
23.65,1.442522297,-0.127350759
23.7,1.200646366,-0.166816498
23.75,0.889939804,-0.169358883
23.8,0.523864046,-0.127118914
23.85,0.118635055,-0.035151082
23.9,-0.30766966,0.108161304
23.95,-0.736103443,0.300906724
24,-1.147883182,0.537676218
24.05,-1.525401008,0.809823955
24.1,-1.853155336,1.10594265
24.15,-2.118546783,1.412525168
24.2,-2.312493072,1.714771749
24.25,-2.429828318,1.997492881
24.3,-2.469465508,2.246051534
24.35,-2.434315589,2.447285716
24.4,-2.330971522,2.590353173
24.45,-2.169180032,2.667444637
24.5,-1.961136631,2.67431988
24.55,-1.720650087,2.610631657
24.6,-1.46223017,2.480015584
24.65,-1.20015678,2.289938385
24.7,-0.947589183,2.051311884
24.75,-0.71577103,1.777894588
24.8,-0.51338032,1.4855159
24.85,-0.346063885,1.191169088
24.9,-0.216183988,0.91202735
24.95,-0.122790883,0.664442227
25,-0.061820712,0.46298491
25.05,-0.026503656,0.319588506
25.1,-0.007953831,0.242843321
25.15,0.004099158,0.237487981
25.2,0.020486131,0.304127323
25.25,0.051736716,0.439194248
25.3,0.1072376,0.635157851
25.35,0.194466784,0.880965181
25.4,0.318355132,1.162689798
25.45,0.480818413,1.464347714
25.5,0.680492165,1.768831206
25.55,0.912688757,2.05890394
25.6,1.169581808,2.318197203
25.65,1.440608563,2.532147224
25.7,1.713066722,2.688817316
25.75,1.972869653,2.779555859
25.8,2.205413471,2.799451384
25.85,2.396501989,2.747558637
25.9,2.533271348,2.626883691
25.95,2.605055656,2.444131043
26,2.604138084,2.209230314
26.05,2.526338545,1.934673648
26.1,2.371398807,1.634706488
26.15,2.143138151,1.32442322
26.2,1.849366643,1.01882483
26.25,1.501557971,0.731897748
26.3,1.11429861,0.475771398
26.35,0.704543935,0.260006736
26.4,0.290723958,0.091059562
26.45,-0.108249187,-0.028048831
26.5,-0.47401356,-0.097834319
26.55,-0.789768371,-0.122221022
26.6,-1.041203371,-0.10819053
26.65,-1.217291202,-0.065233132
26.7,-1.310895285,-0.004637384
26.75,-1.319156845,0.061335394
26.8,-1.2436379,0.120337832
26.85,-1.090211727,0.1608267
26.9,-0.868707485,0.172898626
26.95,-0.592330492,0.14901679
27,-0.276893101,0.084580988
27.05,0.060097536,-0.021696697
27.1,0.400440039,-0.167636022
27.15,0.726267802,-0.347664015
27.2,1.021045047,-0.553118485
27.25,1.270470853,-0.772761878
27.3,1.463237967,-0.993474257
27.35,1.591602355,-1.201082663
27.4,1.651731248,-1.3812752
27.45,1.643811173,-1.520542491
27.5,1.571912274,-1.607087052
27.55,1.443620237,-1.631642719
27.6,1.269461308,-1.588151473
27.65,1.062158502,-1.474253545
27.7,0.835767237,-1.291558004
27.75,0.604745756,-1.045674425
27.8,0.383019319,-0.746000887
27.85,0.183097112,-0.405278617
27.9,0.015297075,-0.038937978
27.95,-0.112873312,0.335726466
28,-0.197142403,0.700503429
28.05,-0.236680526,1.037278759
28.1,-0.23407554,1.329055221
28.15,-0.195081167,1.560917094
28.2,-0.128155944,1.720881643
28.25,-0.043823902,1.800586179
28.3,0.046100549,1.795769266
28.35,0.129372514,1.706517033
28.4,0.194204828,1.537259696
28.45,0.23012638,1.296518498
28.5,0.228754226,0.99641835
28.55,0.184428615,0.651995568
28.6,0.094668755,0.280342468
28.65,-0.039581478,-0.100359707
28.7,-0.213935341,-0.471861421
28.75,-0.420775517,-0.816857923
28.8,-0.64968515,-1.119934364
28.85,-0.888071877,-1.368386972
28.9,-1.121946672,-1.552872123
28.95,-1.336809224,-1.667845933
29,-1.518584508,-1.711770003
29.05,-1.654551552,-1.687073425
29.1,-1.734205454,-1.599876193
29.15,-1.749997453,-1.459493779
29.2,-1.69790503,-1.277756028
29.25,-1.57779427,-1.068184751
